City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Caravelas,BR,2020-10-04 17:54:39,-17.71,-39.25,28.12,56,85,2.91
216,Kankaanpaa,FI,2020-10-04 17:55:23,61.8,22.42,14.0,71,90,7.2
217,Svetlyy,RU,2020-10-04 17:55:23,54.67,20.13,17.0,88,75,4.0
218,Alugan,PH,2020-10-04 17:55:23,12.22,125.48,25.49,89,100,1.77
219,Buala,SB,2020-10-04 17:55:23,-8.14,159.59,26.52,79,6,2.61
220,Provideniya,RU,2020-10-04 17:55:23,64.38,-173.3,0.42,90,3,3.22
221,Banda Aceh,ID,2020-10-04 17:55:24,5.56,95.32,26.83,75,90,3.87
222,Merauke,ID,2020-10-04 17:55:24,-8.47,140.33,25.8,84,100,6.52
223,Saravan,AM,2020-10-04 17:55:24,39.72,45.65,17.0,63,75,4.1
224,Oyo,NG,2020-10-04 17:55:24,7.85,3.93,25.24,83,96,1.04
225,Pospelikha,RU,2020-10-04 17:55:24,51.95,81.77,8.29,90,65,3.85
226,Las Choapas,MX,2020-10-04 17:55:24,17.93,-94.08,27.0,69,75,7.7
227,Moerai,PF,2020-10-04 17:55:25,-22.43,-151.33,22.69,85,100,7.32
228,Kupang,ID,2020-10-04 17:55:25,-10.17,123.58,24.03,81,57,3.05
229,Chatellerault,FR,2020-10-04 17:55:25,46.8,0.53,12.22,87,70,6.2
230,Pokhara,NP,2020-10-04 17:55:25,28.23,83.98,20.39,64,13,1.91
231,Spas-Demensk,RU,2020-10-04 17:55:26,54.41,34.02,13.57,43,99,5.09
232,Pangnirtung,CA,2020-10-04 17:55:27,66.15,-65.71,1.0,74,90,1.29
233,Half Moon Bay,US,2020-10-04 17:53:31,37.46,-122.43,22.22,87,40,6.2
234,Doha,QA,2020-10-04 17:55:28,25.29,51.53,33.0,52,0,2.6
235,Voznesenye,RU,2020-10-04 17:55:28,61.01,35.48,11.84,81,100,5.86
236,Azuaga,ES,2020-10-04 17:55:28,38.27,-5.68,16.67,60,99,4.47
237,Severnyy,RU,2020-10-04 17:55:28,50.68,36.55,13.0,28,2,3.0
238,Khartoum,SD,2020-10-04 17:55:29,15.55,32.53,34.0,32,0,3.6
239,Gashua,NG,2020-10-04 17:55:29,12.87,11.05,34.77,25,0,2.78
240,Natal,BR,2020-10-04 17:53:35,-5.79,-35.21,30.0,55,20,7.2
241,Ulkan,RU,2020-10-04 17:55:29,57.24,107.32,-0.66,93,52,1.11
242,Cayenne,GF,2020-10-04 17:54:54,4.93,-52.33,32.0,59,75,5.1
